Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price /International,Status
[laneige]-lip-sleeping-mask-ex-(berry),[Laneige] Lip Sleeping Mask EX (Berry),"""<p>DescriptionSpecial care using Lip Sleeping Mask!Vitamin C-rich Berry Mix ComplexTM, containing raspberry, strawberry, cranberry, blueberry extracts erases dry, flaky dead skin on the lips during the night to realize smooth and supple lips the next morning.1. Berry Mix Complex™- Berry extracts rich in vitamin C and anti-oxidants act on dry, rough lips, making them smooth and supple.2. MOISTURE WRAP™- Hyaluronic acid mineral network forms a moisturizing film to help lock-in active ingredients and the skin to absorb and retain moisture through the night.3. Sweet and fruity berry fragrance- Sweet and relaxing fragrance that smells so delicious, it reminds you of real berries.Suggested Use1. Before going to bed, apply a liberal amount with the spatula.※ Effect: Melts stubborn dead skin cells and provides abundant moisture to skin during nighttime.2. The next morning, gently wipe skin clean with tissue or cotton pad.※ Effect: Makes the lips smooth and elastic by removing dead skin cells.IngredientsDiisostearyl Malate, Hydrogenated Polyisobutene, Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Hydrogenated C6-14 Olefin Polymers, Polybutene, Microcrystalline Wax, Shea Butter, Synthetic Wax, Candelilla Wax, Sucrose Tetrastearate Triacetate, Hydrogenated Butylene/Ethylene/Styrene Copolymer, Ethylene/Propylene/Styrene Copolymer, Mica, Astrocaryum murumuru Seed Butter, Titanium Dioxide, Dimethicone, Aromatics, Polyglyceryl-2 Diisostearate, Dehydroacetic Acid, Methicone, Carnauba Wax, Polyglyceryl-2 Triisostearate, CI 15985, CI 15850, Polyhydroxystearic Acid, Water, Potassium Alginate, Propanediol, Glycerin, Alcohol, Lycium Fruit Extract, Cranberry Fruit Extract, Strawberry Fruit Extract, Raspberry Fruit Extract, Sapindus mukurossi Fruit Extract, Blueberry Fruit Extract,  Rubus chamaemorus Seed Extract, Coffee Extract, Chenopodium quinoa Seed Extract, Magnesium Sulfate, Calcium Chloride, Sodium Hyaluronate, Beta-Glucan, Manganese Sulfate, Zinc Sulfate, Ascorbyl Glucoside <img src='https://d3i908zd4kzakt.cloudfront.net/data/editor/2303/item0_1680055593.png'></p>""",,,,,False,Title,Null,,,,,,0,shopify,0,deny,manual,19.90,,,,,https://d3i908zd4kzakt.cloudfront.net/data/item/1680055593/thumb-laneige_berry_405x405.jpg,,,False,,,,,,,,,,,,,,,,,,,,,,active
[laneige]--lip-sleeping-mask-ex-(grapefruit),[Laneige]  Lip Sleeping Mask EX (Grapefruit),"""<p>DescriptionHave you ever seen the Milkyway embroidering the night sky? Meet the mystical, mesmerizing light, sparkling from the waves of small stars.Laneige limited collection available only during the holiday seasonMake your holiday sparkle with Laneige Milkyway Fantasy!1. Milkyway Fantasy Design containing the purity of the Milkyway - Give your sparkling holiday gift with Milkyway limited edition design to that special person!2. The lip sleeping mask contains 4 kinds of refreshing fragrance! - Available in berry, grapefruit, vanilla scents to suit everyone's preference.MOISTURE WRAP™The Sleeping wrapping technology keeps the lips moisturized overnight by holding skin purification factors with the hyaluronic acid mineral networkUses different kinds of fragrance such as berry, grapefruit and vanillaFragrant lip care in various scents, from the representative berry scent of lip sleeping mask to sweet and sour grapefruit, and soft, sweet vanilla fragranceBerry (Sweet Berry Complex) : Sleep-inducing sweet berry fragrance is a representative scent of Laneige Lip Sleeping Mask!Vitamin C-rich Berry Mix Complex™ consisting of Raspberry, Strawberry, Cranberry, Blueberry, and Goji Berry gently melts away dead skin cells from the lips overnight and makes the lips feel smooth and elastic.Grapefruit(Sweet Citrus) : The sweet and sour Grapefruit Citrus fragrance promotes a good night’s sleep, and the lip mask makes the lips feel smooth and elastic by melting out dead skin cells from the lips overnight.Vanilla (Sweet Vanilla) : The Sweet Vanilla fragrance reminding one of warm, soft, sweet vanilla whipping cream provides a soothing feel, and the lip mask makes the lips feel smooth and elastic by melting out dead skin cells from the lips overnight.Suggest UseStep 1Before going to bed, apply a liberal amount with the spatula.※ Effect: Melts stubborn dead skin cells and provides abundant moisture to skin during nighttime.Step 2The next morning, gently wipe skin clean with tissue or cotton pad.※ Effect: Makes the lips smooth and elastic by removing dead skin cells.Active IngredientsDIISOSTEARYL MALATE, HYDROGENATED POLYISOBUTENE, PHYTOSTERYL/ISOSTEARYL/CETYL/STEARYL/BEHENYL DIMER DILINOLEATE, HYDROGENATED POLY(C6-14 OLEFIN), POLYBUTENE, MICROCRYSTALLINE WAX, BUTYROSPERMUM PARKII (SHEA) BUTTER, SYNTHETIC WAX, EUPHORBIA CERIFERA (CANDELILLA) WAX, SUCROSE TETRASTEARATE TRIACETATE, BUTYLENE/ETHYLENE/STYRENE COPOLYMER, ETHYLENE/PROPYLENE/STYRENE COPOLYMER, MICA (CI 77019), ASTROCARYUM MURUMURU SEED BUTTER, TITANIUM DIOXIDE (CI 77891), DIMETHICONE, FRAGRANCE, POLYGLYCERYL-2 DIISOSTEARATE, DEHYDROACETIC ACID, METHICONE, COPERNICIA CERIFERA (CARNAUBA) WAX, POLYGLYCERYL-2 TRIISOSTEARATE, YELLOW 6 LAKE (CI 15985), RED 6 (CI 15850), POLYHYDROXYSTEARIC ACID, WATER, POTASSIUM ALGINATE, PROPANEDIOL, GLYCERIN, ALCOHOL, LYCIUM CHINENSE FRUIT EXTRACT, VACCINIUM MACROCARPON (CRANBERRY) FRUIT EXTRACT, FRAGARIA CHILOENSIS (STRAWBERRY) FRUIT EXTRACT, RUBUS IDAEUS (RASPBERRY) FRUIT EXTRACT, SAPINDUS MUKOROSSI FRUIT EXTRACT, VACCINIUM ANGUSTIFOLIUM (BLUEBERRY) FRUIT EXTRACT, RUBUS CHAMAEMORUS SEED EXTRACT, COFFEA ARABICA (COFFEE) SEED EXTRACT, CHENOPODIUM QUINOA SEED EXTRACT, MAGNESIUM SULFATE, CALCIUM CHLORIDE, SODIUM HYALURONATE, BETA-GLUCAN, MANGANESE SULFATE, ZINC SULFATE, ASCORBYL GLUCOSIDE</p>""",,,,,False,Title,Null,,,,,,0,shopify,0,deny,manual,18.00,,,,,https://d3i908zd4kzakt.cloudfront.net/data/item/1623218599/thumb-laneige_grapefrult_405x405.jpg,,,False,,,,,,,,,,,,,,,,,,,,,,active
[laneige]-radian-c-cream-30ml,[Laneige] Radian C Cream 30ml,"""<p>Description-Brightening Even tone Moisturizing-Strengthening the skin barrier-Skin protection against the light in daily life-Qualified 3 tests, safe for problematic skin(Dermatologically,Non-comedogenic,Hypoallergenic)Suggested UseTake appropriate amount when using cream in the morning and evening  ​    <img src='https://d3i908zd4kzakt.cloudfront.net/data/editor/2303/11e188a7caa02d1e201f492df500548e_1677815332_7503.jpg'><img src='http://ai.esmplus.com/gded/a/m/20210413/14/1618291675129562d271.jpg'><img src='http://ai.esmplus.com/gded/a/m/20210413/14/16182916751296ba6fc4.jpg'><img src='http://ai.esmplus.com/gded/a/m/20210413/14/16182916751296a073da.jpg'></p>""",,,,,False,Title,Null,,,,,,0,shopify,0,deny,manual,33.00,,,,,https://d3i908zd4kzakt.cloudfront.net/data/item/1677814896/thumb-65Ox66Gd7ZW07JW865Cg6rGw1_405x405.jpg,,,False,,,,,,,,,,,,,,,,,,,,,,active
[laneige]lip-sleeping-mask-ex-(apple-lime),[Laneige]Lip Sleeping Mask EX (Apple Lime),"""<p> DescriptionSpecial care using Lip Sleeping Mask!The sleeping wrapping technology keeps the lips moisturized overnight by holding skin purification factors with the hyaluronic acid mineral network1. Berry Mix Complex™- Berry extracts rich in vitamin C and anti-oxidants act on dry, rough lips, making them smooth and supple.2. MOISTURE WRAP™- Hyaluronic acid mineral network forms a moisturizing film to help lock-in active ingredients and the skin to absorb and retain moisture through the night.3. 4 kinds of sweet and fruity berry fragrance- Berry : Sweet and relaxing fragrance that smells so delicious, it reminds you of real berries.- Grapefruit : The sweet and sour Grapefruit Citrus fragrance.- Apple Lime : The fresh Citrus Green Apple Lime fragrance reminds you one of fresh apples- Vanilla : The sweet Vanilla fragrance reminds you one of warm, soft, sweet vanilla whipping cream.Suggested Use1. Before going to bed, apply a liberal amount with the spatula.※ Effect: Melts stubborn dead skin cells and provides abundant moisture to skin during nighttime.2. The next morning, gently wipe skin clean with tissue or cotton pad.※ Effect: Makes the lips smooth and elastic by removing dead skin cells.IngredientsDiisostearyl Malate, Hydrogenated Polyisobutene, Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Hydrogenated C6-14 Olefin Polymers, Polybutene Microcrystalline Wax, Shea Butter, Synthetic Wax, Candelilla Wax, Sucrose Tetrastearate Triacetate, Hydrogenated Butylene/Ethylene/Styrene Copolymer, Ethylene/Propylene/Styrene Copolymer, Mica, Aromatics, Astrocaryum murumuru Seed Butter, Dimethicone, Titanium Dioxide (CI 77891), Polyglyceryl-2 Diisostearate, Dehydroacetic Acid, Methicone, Carnauba Wax, Silica, Polyglyceryl-2 Triisostearate, CI 47005, Water, Polyhydroxystearic Acid, CI 42090, Potassium Alginate, Propanediol, Glycerin, Alcohol, Lycium Fruit Extract, Cranberry Fruit Extract, Strawberry Fruit Extract, Raspberry Fruit Extract, Sapindus mukurossi Fruit Extract, Blueberry Fruit Extract,  Rubus chamaemorus Seed Extract, Coffee Extract, Chenopodium quinoa Seed Extract, Magnesium Sulfate, Calcium Chloride, Sodium Hyaluronate, Beta-Glucan, Manganese Sulfate, Zinc Sulfate, Ascorbyl Glucoside </p>""",,,,,False,Title,Null,,,,,,0,shopify,0,deny,manual,19.90,,,,,https://d3i908zd4kzakt.cloudfront.net/data/item/1626139629/thumb-laneige_apple_405x405.jpg,,,False,,,,,,,,,,,,,,,,,,,,,,active
[laneige]-lip-sleeping-mask-ex-(mint-choco),[Laneige] Lip Sleeping Mask EX (Mint Choco),"""<p>DescriptionThe Laneige Lip Sleeping Mask EX [Mint Choco] gently melts away dead skin cells from the lips to make them soft, smooth and supple. It is a leave-on overnight mask that soothes and moisturises the lips, improving their condition by the next morning. It is not sticky and can also be used as a lip balm during the day.Berry extracts are rich in Vitamin C and antioxidants that act on dry and rough lips, making them firm and supple.Laneige's patented Moisture Wrap technology, consisting of a dense beta glucan based moisturising layer, together with hydro ion mineral water, evening primrose root extract and Hunza apricot extract, provide intense hydration that lasts for up to 8 hours.Suggested Use1. Before going to bed, apply a liberal amount with the spatula.※ Effect: Melts stubborn dead skin cells and provides abundant moisture to skin during night time.2. The next morning, gently wipe skin clean with tissue or cotton pad.※ Effect: Makes the lips smooth and elastic by removing dead skin cells. </p>""",,,,,False,Title,Null,,,,,,0,shopify,0,deny,manual,18.00,,,,,https://d3i908zd4kzakt.cloudfront.net/data/item/1638248920/thumb-1_405x405.jpg,,,False,,,,,,,,,,,,,,,,,,,,,,active
[laneige]--lip-sleeping-mask-ex-(berry),[Laneige]  Lip Sleeping Mask EX (Berry),"""<p>DescriptionSpecial care using Lip Sleeping Mask!Vitamin C-rich Berry Mix ComplexTM, containing raspberry, strawberry, cranberry, blueberry extracts erases dry, flaky dead skin on the lips during the night to realize smooth and supple lips the next morning.1. Berry Mix Complex™- Berry extracts rich in vitamin C and anti-oxidants act on dry, rough lips, making them smooth and supple.2. MOISTURE WRAP™- Hyaluronic acid mineral network forms a moisturizing film to help lock-in active ingredients and the skin to absorb and retain moisture through the night.3. Sweet and fruity berry fragrance- Sweet and relaxing fragrance that smells so delicious, it reminds you of real berries.Suggested Use1. Before going to bed, apply a liberal amount with the spatula.※ Effect: Melts stubborn dead skin cells and provides abundant moisture to skin during nighttime.2. The next morning, gently wipe skin clean with tissue or cotton pad.※ Effect: Makes the lips smooth and elastic by removing dead skin cells.IngredientsDiisostearyl Malate, Hydrogenated Polyisobutene, Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Hydrogenated C6-14 Olefin Polymers, Polybutene, Microcrystalline Wax, Shea Butter, Synthetic Wax, Candelilla Wax, Sucrose Tetrastearate Triacetate, Hydrogenated Butylene/Ethylene/Styrene Copolymer, Ethylene/Propylene/Styrene Copolymer, Mica, Astrocaryum murumuru Seed Butter, Titanium Dioxide, Dimethicone, Aromatics, Polyglyceryl-2 Diisostearate, Dehydroacetic Acid, Methicone, Carnauba Wax, Polyglyceryl-2 Triisostearate, CI 15985, CI 15850, Polyhydroxystearic Acid, Water, Potassium Alginate, Propanediol, Glycerin, Alcohol, Lycium Fruit Extract, Cranberry Fruit Extract, Strawberry Fruit Extract, Raspberry Fruit Extract, Sapindus mukurossi Fruit Extract, Blueberry Fruit Extract,  Rubus chamaemorus Seed Extract, Coffee Extract, Chenopodium quinoa Seed Extract, Magnesium Sulfate, Calcium Chloride, Sodium Hyaluronate, Beta-Glucan, Manganese Sulfate, Zinc Sulfate, Ascorbyl Glucoside </p>""",,,,,False,Title,Null,,,,,,0,shopify,0,deny,manual,19.90,,,,,https://d3i908zd4kzakt.cloudfront.net/data/item/1629338927/thumb-laneige_berry_405x405.jpg,,,False,,,,,,,,,,,,,,,,,,,,,,active
[laneige]-*miniature*-radian-c-cream-10ml,[Laneige] *miniature* Radian C Cream 10ml,"""<p>Description-Brightening Even tone Moisturizing-Strengthening the skin barrier-Skin protection against the light in daily life-Qualified 3 tests, safe for problematic skin(Dermatologically,Non-comedogenic,Hypoallergenic)Suggested UseTake appropriate amount when using cream in the morning and evening. </p>""",,,,,False,Title,Null,,,,,,0,shopify,0,deny,manual,3.90,,,,,https://d3i908zd4kzakt.cloudfront.net/data/item/1596173581/thumb-thumbIMG_3661_405x405_405x405.jpg,,,False,,,,,,,,,,,,,,,,,,,,,,active
[laneige]-glowy-makeup-serum-30ml,[Laneige] Glowy Makeup Serum 30ml,"""<p>DescriptionGlowy Makeup Serum moisturizes the skin to boost skin radiance and prep skin for perfect makeup.​Light Fit Prep Technology that helps strengthen the adherence and consistency of makeup as if applying hydrating, radiant base and primer.​Natural mineral diamond ingredient boosts skin radiance, leaving the skin smooth and glowing.​Light, water-gel texture that moisturizes the skin and adjusts the oil-water balance of skin with ceramide. Suggest UseAfter applying sun cream, apply 1 - 2 drops of serum evenly over the face.IngredientsWater, Glycerin, PEG/PPG-17/6 Copolymer, Diglycerin, Methyl Gluceth-20, Propanediol, Dimethicone, 1,2-Hexanediol, Betaine, Undecane, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tro methamine,Caprylyl Methicone, Tridecane, Saccharide Hydrolysate, Fructooligosaccharides, Silica Dimethyl Silylate, Mica, Xanthan Gum, C30-45 Alkyl Cetearyl Dimethicone Crosspolymer, Pullulan, Titanium Dioxide (CI77891), Olea Europaea (Olive) Fruit Oil, Myristyl Trisiloxane, Synthetic Fluorphlogopite, Carmine (CI75470), Diamond Powder, Kappaphycus Alvarezii Extract, Butylene Glycol, Caesalpinia Spinosa Fruit Extract, Tocopherol, Tin Oxide, Caprylic/Capric Triglyceride, Phosphatidylcholine, Ceramide NP, Glycine, Serine, Glutamic Acid, Alanine, Lysine, Arginine, Proline, Threonine <img src='https://d3i908zd4kzakt.cloudfront.net/data/editor/1911/c798b7e514ff4bfb878633c3f346c745_1573203202_6825.JPG'></p>""",,,,,False,Title,Null,,,,,,0,shopify,0,deny,manual,26.00,,,,,https://d3i908zd4kzakt.cloudfront.net/data/item/1573202884/thumb-IMG_3578_405x405.jpg,,,False,,,,,,,,,,,,,,,,,,,,,,active
[laneige]-perfect-renew-youth-skin-refiner,[Laneige] Perfect Renew Youth Skin Refiner,"""<p>DescriptionAnti-aging first-step functional toner that provides deep nourishment for firm yet smooth skin.  How To UseAfter cleansing, dispense 1-2 times to take an adequate amount.Gently spread along the skin texture, from the center of the face outwards.    <img src='https://d3i908zd4kzakt.cloudfront.net/data/editor/2212/ae0edd6e896aa37aa7cda7de1ee65db7_1670916719_2705.jpg'><img src='https://d3i908zd4kzakt.cloudfront.net/data/editor/2212/ae0edd6e896aa37aa7cda7de1ee65db7_1670916937_1404.jpg'></p>""",,,,,False,Title,Null,,,,,,0,shopify,0,deny,manual,47.00,,,,,https://d3i908zd4kzakt.cloudfront.net/data/item/1670916328/thumb-123123123_405x405.jpg,,,False,,,,,,,,,,,,,,,,,,,,,,active
[laneige]-perfect-renew-youth-emulsion-100ml,[Laneige] Perfect Renew Youth Emulsion 100ml,"""<p>Description-The emulsion containing sunflower seed oil rich in essential fatty acid nourishes the skin, making it soft and supple-Creating anti-aging protein, procollagen, the mother of collagen, which improve skin's firmness and elasticity to reduce the visible signs of aging.-4X stronger anti-oxidant effect than Vitamin C: Complex with Acai berry and Acerola extractsSuggested UseAfter using Perfect Renew Youth Regenerator, take an appropriate amount and gently apply from the center of the face towards the contour.Key IngredientsWATER / AQUA / EAU, PROPANEDIOL, GLYCERIN, DIISOSTEARYL MALATE, DIMETHICONE, CETYL ETHYLHEXANOATE, BIS-DIGLYCERYL POLYACYLADIPATE-2, PENTAERYTHRITYL TETRAETHYLHEXANOATE, PCA DIMETHICONE, GLYCERYL STEARATE CITRATE, 1,2-HEXANEDIOL, SILICA, BUTYROSPERMUM PARKII (SHEA) BUTTER, HYDROGENATED POLY(C6-14 OLEFIN), CYCLOPENTASILOXANE, C14-22 ALCOHOLS, GLYCERYL STEARATE, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, HYDROGENATED VEGETABLE OIL, POLYGLYCERYL-3 DISTEARATE, STEARIC ACID, SODIUM STEAROYL GLUTAMATE, PALMITIC ACID, C12-20 ALKYL GLUCOSIDE, DIMETHICONOL, CARBOMER, FRAGRANCE / PARFUM, TROMETHAMINE, ETHYLHEXYLGLYCERIN, DISODIUM EDTA, MALPIGHIA EMARGINATA (ACEROLA) FRUIT EXTRACT, ADENOSINE, EUTERPE OLERACEA FRUIT EXTRACT, HEDYCHIUM CORONARIUM ROOT EXTRACT, DEXTRIN, THEOBROMA CACAO (COCOA) EXTRACT, GLUCOSE, MYRISTIC ACID, ARACHIDIC ACID, SODIUM MAGNESIUM SILICATE, MAGNESIUM CHLORIDE, TETRADECYL AMINOBUTYROYLVALYLAMINOBUTYRIC UREA TRIFLUOROACETATE, TOCOPHEROL, GLUTATHIONE </p>""",,,,,False,Title,Null,,,,,,0,shopify,0,deny,manual,43.20,,,,,https://d3i908zd4kzakt.cloudfront.net/data/item/1620098378/thumb-laneige_youth_emulsion_405x405.jpg,,,False,,,,,,,,,,,,,,,,,,,,,,active
[laneige]-perfect-renew-youth-retinol-pro-30ml,[Laneige] Perfect Renew Youth Retinol Pro 30ml,"""<p>DescriptionA retinol cream for the entire face contains pure retinol with 95% purity to provide relief for the appearance of both pores and wrinkles in just 7 days. How To UseWeek 1 - Use every other day.             Apply an amount the size of a rice grain on wrinkles once a day at night.Week 2 - Use every day.             Apply an amount the size of a rice grain on wrinkles once a day at night.Week 3 - Use every other day.             Apply an amount the size of a bean on wrinkles once a day at night. Key IngredientsHyper Pure Retinol - 95% hjigh purity retinol with few impurities.Tripeptide - Helps retinol firm and lift skin sagginess. 5D hyaluronic acid - Along side of retinol, fully replenishes dryness-prone skin with moisture inside and out, leaving no space for inner-skin dryness.     <img src='https://d3i908zd4kzakt.cloudfront.net/data/editor/2212/c1675c208ec49554a31a08e58d7edd3f_1671000912_1543.jpg'><img src='https://d3i908zd4kzakt.cloudfront.net/data/editor/2212/c1675c208ec49554a31a08e58d7edd3f_1671000912_2375.jpg'><img src='https://d3i908zd4kzakt.cloudfront.net/data/editor/2212/c1675c208ec49554a31a08e58d7edd3f_1671000912_3403.jpg'><img src='https://d3i908zd4kzakt.cloudfront.net/data/editor/2212/c1675c208ec49554a31a08e58d7edd3f_1671000912_4306.jpg'><img src='https://d3i908zd4kzakt.cloudfront.net/data/editor/2212/c1675c208ec49554a31a08e58d7edd3f_1671000912_5177.jpg'><img src='https://d3i908zd4kzakt.cloudfront.net/data/editor/2212/c1675c208ec49554a31a08e58d7edd3f_1671000912_581.jpg'><img src='https://d3i908zd4kzakt.cloudfront.net/data/editor/2212/c1675c208ec49554a31a08e58d7edd3f_1671000912_6625.jpg'><img src='https://d3i908zd4kzakt.cloudfront.net/data/editor/2212/c1675c208ec49554a31a08e58d7edd3f_1671000912_7511.jpg'></p>""",,,,,False,Title,Null,,,,,,0,shopify,0,deny,manual,73.00,,,,,https://d3i908zd4kzakt.cloudfront.net/data/item/1671000773/thumb-00000_405x405.jpg,,,False,,,,,,,,,,,,,,,,,,,,,,active
[laneige]-perfect-renew-youth-regenerating-cream-50ml,[Laneige] Perfect Renew Youth Regenerating Cream 50ml,"""<p>Description1. Strengthens skin barrier2. Moisturized and smooth skin texture3. ﻿Anti-wrinkle functional cream- Skin lipid compounds boost skin texture and firmness. These compound also strengthen the skin’s defense mechanism.- Reed and poria cocos compounds improve skin damaged by external stressors. They provide nourishment that keeps skin healthy for a long time.Suggested UseAfter using emulsion  and Eye cream, take an appropriate amount and gently apply from the center of the face towards the contour.IngredientsWATER, GLYCERIN, BUTYLENE GLYCOL, BETAINE, CAPRYLIC/CAPRIC TRIGLYCERIDE, POLYPROPYLSILSESQUIOXANE, DIMETHICONE, CYCLOPENTASILOXANE, SQUALANE, POLYGLYCERYL-3 METHYLGLUCOSE DISTEARATE, GLYCERYL STEARATE, LIMNANTHES ALBA (MEADOWFOAM) SEED OIL, ALPINIA OFFICINARUM ROOT EXTRACT, PHRAGMITES COMMUNIS EXTRACT, PORIA COCOS EXTRACT, GLYCINE, ADENOSINE, HYDROXYPROPYL BISPALMITAMIDE MEA, SERINE, SODIUM HYALURONATE CROSSPOLYMER, ALANINE, ARGININE, TOCOPHEROL, GLUTAMIC ACID, GLYCERYL CAPRYLATE, DEXTRIN, METHOXY PEG-114/POLYEPSILON CAPROLACTONE, MYRISTIC ACID, BEHENIC ACID, CETEARYL ALCOHOL, SODIUM PCA, STEARIC ACID, STEARYL BEHENATE, ARACHIDIC ACID, AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER, THEOBROMA CACAO (COCOA) EXTRACT, CHOLESTEROL, PALMITIC ACID, POLOXAMER 407, POLYSORBATE 20, PEG-100 STEARATE, HYDROGENATED LECITHIN, HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER, DISODIUM EDTA, ETHYLHEXYLGLYCERIN, PHENOXYETHANOL, FRAGRANCE </p>""",,,,,False,Title,Null,,,,,,0,shopify,0,deny,manual,52.00,,,,,https://d3i908zd4kzakt.cloudfront.net/data/item/1578463906/thumb-7Jyg7Iqk7YGs66a8_405x405.jpg,,,False,,,,,,,,,,,,,,,,,,,,,,active
[laneige]-neo-foundation-glow-30ml-(3-colors),[Laneige] Neo Foundation Glow 30ml (3 Colors),"""<p>DescriptionNeo Foundation’s Silky and fine particles blend in seamlessly along the skin texture in a thin layer with a comfortable, lightweight finish that feels like my own skin How To Use1.Shake before using.2.Use after sunscreen and/or makeup base step in your basic skincare routine.3.Take an adequate amount and apply it thinly along the skin texture. Finish by tapping with your fingers. Apply one more layer on areas that require more coverage.4.Try using a sponge or brush for a better adherence.      <img src='https://d3i908zd4kzakt.cloudfront.net/data/editor/2211/ed64d999cf8ead1fdfc73fb12880f3de_1669370787_3192.jpg'><img src='https://d3i908zd4kzakt.cloudfront.net/data/editor/2211/ed64d999cf8ead1fdfc73fb12880f3de_1669370878_4915.png'></p>""",,,,,False,Title,17N1Vanilla21C1CoolBeige(+$8)21N1Beige,,,,,,0,shopify,0,deny,manual,35.00,,,,,https://d3i908zd4kzakt.cloudfront.net/data/item/1669370566/thumb-65s64Sk7KaI_405x405.jpg,,,False,,,,,,,,,,,,,,,,,,,,,,active
